"filename", "language", "JSON", "ShaderLab", "HLSL", "C#", "XML", "comment", "blank", "total"
"c:\Users\VICTUS\YZM396\Assets\Scripts\AttackArea.cs", "C#", 0, 0, 0, 18, 0, 3, 3, 24
"c:\Users\VICTUS\YZM396\Assets\Scripts\AudioManager.cs", "C#", 0, 0, 0, 59, 0, 1, 11, 71
"c:\Users\VICTUS\YZM396\Assets\Scripts\BasicEnemy.cs", "C#", 0, 0, 0, 278, 0, 0, 50, 328
"c:\Users\VICTUS\YZM396\Assets\Scripts\BossDoor.cs", "C#", 0, 0, 0, 54, 0, 0, 15, 69
"c:\Users\VICTUS\YZM396\Assets\Scripts\BossHealthBar.cs", "C#", 0, 0, 0, 53, 0, 19, 14, 86
"c:\Users\VICTUS\YZM396\Assets\Scripts\BreakableObject.cs", "C#", 0, 0, 0, 74, 0, 16, 16, 106
"c:\Users\VICTUS\YZM396\Assets\Scripts\CameraFollow.cs", "C#", 0, 0, 0, 96, 0, 1, 21, 118
"c:\Users\VICTUS\YZM396\Assets\Scripts\Checkpoint.cs", "C#", 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\VICTUS\YZM396\Assets\Scripts\Coin.cs", "C#", 0, 0, 0, 51, 0, 4, 14, 69
"c:\Users\VICTUS\YZM396\Assets\Scripts\CoinInventory.cs", "C#", 0, 0, 0, 14, 0, 2, 4, 20
"c:\Users\VICTUS\YZM396\Assets\Scripts\DestroyAfterTime.cs", "C#", 0, 0, 0, 34, 0, 4, 8, 46
"c:\Users\VICTUS\YZM396\Assets\Scripts\Door.cs", "C#", 0, 0, 0, 54, 0, 0, 14, 68
"c:\Users\VICTUS\YZM396\Assets\Scripts\Enemy.cs", "C#", 0, 0, 0, 320, 0, 0, 53, 373
"c:\Users\VICTUS\YZM396\Assets\Scripts\EnemyDMG.cs", "C#", 0, 0, 0, 17, 0, 1, 3, 21
"c:\Users\VICTUS\YZM396\Assets\Scripts\EnemyDoor.cs", "C#", 0, 0, 0, 46, 0, 1, 9, 56
"c:\Users\VICTUS\YZM396\Assets\Scripts\FlameParticle.cs", "C#", 0, 0, 0, 30, 0, 2, 5, 37
"c:\Users\VICTUS\YZM396\Assets\Scripts\FlameThrowerCaster.cs", "C#", 0, 0, 0, 46, 0, 0, 12, 58
"c:\Users\VICTUS\YZM396\Assets\Scripts\Getsugatensho.cs", "C#", 0, 0, 0, 103, 0, 1, 21, 125
"c:\Users\VICTUS\YZM396\Assets\Scripts\HitstopManager.cs", "C#", 0, 0, 0, 27, 0, 0, 6, 33
"c:\Users\VICTUS\YZM396\Assets\Scripts\InstantDeathTrigger.cs", "C#", 0, 0, 0, 21, 0, 1, 4, 26
"c:\Users\VICTUS\YZM396\Assets\Scripts\KeyPickup.cs", "C#", 0, 0, 0, 36, 0, 0, 6, 42
"c:\Users\VICTUS\YZM396\Assets\Scripts\Lever.cs", "C#", 0, 0, 0, 59, 0, 5, 13, 77
"c:\Users\VICTUS\YZM396\Assets\Scripts\LockedDoor.cs", "C#", 0, 0, 0, 69, 0, 0, 13, 82
"c:\Users\VICTUS\YZM396\Assets\Scripts\MovingPlatform.cs", "C#", 0, 0, 0, 39, 0, 0, 10, 49
"c:\Users\VICTUS\YZM396\Assets\Scripts\MovingPlatformCarrier.cs", "C#", 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\VICTUS\YZM396\Assets\Scripts\PlayerHP.cs", "C#", 0, 0, 0, 143, 0, 4, 38, 185
"c:\Users\VICTUS\YZM396\Assets\Scripts\PlayerKeyInventory.cs", "C#", 0, 0, 0, 38, 0, 0, 6, 44
"c:\Users\VICTUS\YZM396\Assets\Scripts\PlayerMovement.cs", "C#", 0, 0, 0, 247, 0, 9, 22, 278
"c:\Users\VICTUS\YZM396\Assets\Scripts\SceneLoaderTrigger.cs", "C#", 0, 0, 0, 13, 0, 0, 3, 16
"c:\Users\VICTUS\YZM396\Assets\Scripts\Shadowcloak.cs", "C#", 0, 0, 0, 63, 0, 0, 12, 75
"c:\Users\VICTUS\YZM396\Assets\Scripts\SoulswordProjectile.cs", "C#", 0, 0, 0, 97, 0, 8, 20, 125
"c:\Users\VICTUS\YZM396\Assets\Scripts\SpikeColumn.cs", "C#", 0, 0, 0, 38, 0, 1, 10, 49
"c:\Users\VICTUS\YZM396\Assets\Scripts\StompAttack.cs", "C#", 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\VICTUS\YZM396\Assets\Scripts\SwordData.cs", "C#", 0, 0, 0, 20, 0, 0, 7, 27
"c:\Users\VICTUS\YZM396\Assets\Scripts\SwordPickup.cs", "C#", 0, 0, 0, 48, 0, 4, 9, 61
"c:\Users\VICTUS\YZM396\Assets\Scripts\SwordSwing.cs", "C#", 0, 0, 0, 405, 0, 15, 68, 488
"c:\Users\VICTUS\YZM396\Assets\Scripts\TextHandler.cs", "C#", 0, 0, 0, 48, 0, 10, 12, 70
"c:\Users\VICTUS\YZM396\Assets\Scripts\TitanfallCleave.cs", "C#", 0, 0, 0, 52, 0, 6, 12, 70
"c:\Users\VICTUS\YZM396\Assets\Scripts\VortexSphere.cs", "C#", 0, 0, 0, 108, 0, 7, 25, 140
"c:\Users\VICTUS\YZM396\Assets\Scripts\WeaponHitbox.cs", "C#", 0, 0, 0, 40, 0, 2, 9, 51
"c:\Users\VICTUS\YZM396\Assets\Scripts\ZangerinFireball.cs", "C#", 0, 0, 0, 90, 0, 3, 19, 112
"c:\Users\VICTUS\YZM396\Assets\Sprites\Effects\AttackGlow2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Effects\AttackX2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Effects\HP.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Effects\Point.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Effects\ShieldParticle.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
